,Year,Drink Window,Description,Province,Type,Name of Wine,Points,Price
131,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,LangeTwins 2015 Estate Grown Chardonnay (Clarksburg),86,$15.00
132,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Migration 2015 Charles Heintz Vineyard Chardonnay (Sonoma Coast),91,$55.00
133,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Leo Steen Wines 2015 Chardonnay (Santa Cruz Mountains),93,$36.00
134,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Spicy Vines 2015 Joie de Vivre Chardonnay (Los Carneros),88,$38.00
135,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,EnRoute 2015 Brumaire Chardonnay (Russian River Valley),95,$40.00
136,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Brick & Mortar 2015 Sweetwater Springs Vineyard Chardonnay (Russian River Valley),91,$45.00
137,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Talbott 2015 Logan Sleepy Hollow Vineyard Chardonnay (Santa Lucia Highlands),88,$28.00
138,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Vigilance 2015 Chardonnay (Red Hills Lake County),90,$24.00
139,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Michael Mondavi Family Estate 2015 Emblem Chardonnay (Carneros),90,$35.00
140,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Laguna 2015 Chardonnay (Russian River Valley),88,$35.00
141,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Geyser Peak 2015 Water Bend Chardonnay (Sonoma County),90,$26.00
142,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Bravium 2015 Chardonnay (Russian River Valley),87,$20.00
143,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Fess Parker 2015 Bien Nacido Vineyard Chardonnay (Santa Barbara County),93,$40.00
144,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Rancho Sisquoc 2015 Chardonnay (Santa Barbara County),89,$20.00
145,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Tolosa 2015 1772 Pacific Wind Chardonnay (Edna Valley),90,$48.00
146,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Davis Family 2015 Chardonnay (Russian River Valley),93,$38.00
147,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Melville 2015 Clone 76 Inox Chardonnay (Sta. Rita Hills),93,$36.00
148,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Hanna 2015 Chardonnay (Russian River Valley),85,$26.00
149,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Chappellet 2015 Chardonnay (Napa Valley),91,$35.00
150,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Castoro Cellars 2015 Chardonnay (Paso Robles),87,$16.00
151,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Jax 2015 Y3 Chardonnay (Napa Valley),93,$20.00
152,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Bargetto 2015 Regan Vineyards Reserve Chardonnay (Santa Cruz Mountains),89,$30.00
153,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Bernardus 2015 Sierra Mar Vineyard Chardonnay (Santa Lucia Highlands),89,$40.00
154,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,McKahn 2015 Chardonnay (Russian River Valley),88,$29.00
155,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Transcendence 2015 Zotovich Vineyard Chardonnay (Sta. Rita Hills),93,$34.00
156,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Robert Renzoni 2015 Barile Chardonnay (Temecula Valley),90,$28.00
157,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,The Federalist 2015 Chardonnay (Sonoma County),84,$18.00
158,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Matanzas Creek 2015 Chardonnay (Sonoma County),90,$26.00
159,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Donkey & Goat 2015 Linda Vista Vineyard Chardonnay (Napa Valley),93,$32.00
160,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,SeaGlass 2015 Unoaked Chardonnay (Santa Barbara County),87,$12.00
161,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Lynmar 2015 Old Wente Chardonnay (Russian River Valley),95,$55.00
162,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,La Voix 2015 Here and Heaven John Sebastiano Vineyard Chardonnay (Sta. Rita Hills),93,$55.00
163,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Fritz 2015 Reserve Chardonnay (Russian River Valley),87,$45.00
164,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Pride Mountain 2015 Chardonnay (Napa Valley),90,$42.00
165,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Loring Wine Company 2015 Rosella's Vineyard Chardonnay (Santa Lucia Highlands),92,$44.00
166,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Broadside 2015 Wild Ferment Chardonnay (Central Coast),86,$17.00
167,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,J Vineyards & Winery 2015 Chardonnay (Russian River Valley),88,$30.00
168,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Lava Cap 2015 Reserve Chardonnay (El Dorado),92,$22.00
169,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Lombardi 2015 Chardonnay (Sonoma Coast),91,$42.00
